State;Year;valore_educazione;valore_poverta;violent_crime;population;violent_crime_rate;valore_urb;valore_disoc;valore_gini
Illinois;1985;66.5;15.6;81397.0;11667537;697.6365277436017;83.3;9.05;0.4437
Indiana;1985;66.4;12.0;14871.0;5512510;269.76821810754086;64.2;7.658;0.4154
Iowa;1985;71.5;17.9;6106.0;2896470;210.8083287587995;58.6;7.375;0.4052
Kansas;1985;73.3;13.8;8680.0;2487754;348.9090963174012;66.7;5.142;0.4191
Kentucky;1985;53.1;19.4;11237.0;3740524;300.4124555810897;50.9;8.958;0.4405
Louisiana;1985;57.7;18.1;27719.0;4499550;616.0393817159494;68.6;11.408;0.4572
Maine;1985;68.7;11.9;1951.0;1173937;166.19290472998125;47.5;5.558;0.4165
Maryland;1985;67.4;8.7;36774.0;4482401;820.4085265909945;80.3;4.617;0.4182
Massachusetts;1985;72.2;9.2;29154.0;5849832;498.3732866174618;83.8;4.1;0.4487
Michigan;1985;68.0;14.5;66610.0;9282011;717.6246612937649;70.7;10.017;0.4279
Minnesota;1985;73.1;12.6;10751.0;4207040;255.54784361451283;66.9;5.992;0.4149
Mississippi;1985;54.8;25.1;5066.0;2629804;192.63793043131733;47.3;10.392;0.4467
Missouri;1985;63.5;13.7;24245.0;5101825;475.22210189491017;68.1;6.633;0.4283
Montana;1985;74.4;16.0;1624.0;916952;177.10850731554106;52.9;7.642;0.4202
Nebraska;1985;73.4;14.8;3776.0;1699840;222.13855421686748;62.9;5.058;0.4110
Nevada;1985;75.5;14.4;5978.0;941497;634.9462611139494;85.3;7.517;0.4210
New Hampshire;1985;72.3;6.0;1390.0;1134350;122.53713580464584;52.2;3.683;0.4032
New Jersey;1985;67.4;8.3;41171.0;7568785;543.9578479240724;89.0;5.617;0.4422
New Mexico;1985;68.9;18.5;8895.0;1463117;607.9486466222455;72.1;8.633;0.4415
New York;1985;66.3;15.8;162584.0;19028076;854.4426667204818;84.6;6.617;0.4767
North Carolina;1985;54.8;14.2;25511.0;6271897;406.7509399468773;48.0;5.675;0.4400
North Dakota;1985;66.4;15.9;320.0;690026;46.375064128018366;48.8;5.5;0.4201
Ohio;1985;67.0;12.8;38675.0;10962448;352.79528805974724;73.3;8.908;0.4290
Oklahoma;1985;66.0;16.0;13926.0;3344902;416.33506751468354;67.3;7.092;0.4329
Oregon;1985;75.6;11.9;14796.0;2705468;546.8924415295246;67.9;8.633;0.4241
Pennsylvania;1985;64.7;10.5;38385.0;12101429;317.1939446159623;69.3;7.975;0.4365
Rhode Island;1985;61.1;9.0;3348.0;972526;344.2581483682699;87.0;4.633;0.4361
South Carolina;1985;53.7;15.2;21085.0;3411276;618.0971577790833;54.1;6.842;0.4362
South Dakota;1985;67.9;17.3;753.0;720413;104.52337756259256;46.4;4.85;0.4099
Tennessee;1985;56.2;18.1;21452.0;4775964;449.1658647343238;60.4;7.925;0.4439
Texas;1985;62.6;15.9;89941.0;16495601;545.2423346078751;79.6;7.025;0.4443
Utah;1985;80.0;10.9;4359.0;1690917;257.78911679284084;84.4;6.05;0.3900
